Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count,Recommended_Prods
1FCTA0RKVETD,My Arcade DGUN-2960 Super GamePad Controller,"Enjoy retro games like never before with the My Arcade DGUN-2960 Super GamePad Controller! Redefining a classic, the Super GamePad features retro styling reimagined for the modern gamer with functionality and improved ergonomics. The Super Gamepad is a versatile controller that can be used to play the SNES Classic Edition, NES Classic Edition, or classic virtual console titles on Wii and Wii U (with supported games). Features home button for easy access to game selection menu directly from the controller Intuitive turbo feature can be assigned easily to any of the action buttons controller allows for comfortable play Up to 75 hours of playtime on required 2 AAA Ergonomically designed for better grip and control and allows for play from up to 30 ft. away without lag or disconnection Can be used with SNES(TM) Classic Edition, NES(TM) Classic Edition, or classic virtual console titles on Wii(R) and Wii U(R) Includes user manual ",https://walmart.com/ip/1FCTA0RKVETD,Video Games,/Retro Gaming Accessories,$12.99,2.8,5 ratings,"['4LNDR7OUIIVA', '1GMW9MHVEWTO', '1Z9HLU4FCZY0', '3Q8YQADNNOVC', '5NGH25HMT5D3', '1KY3275SM49R', '621UFIO5P9K1', '6DQO64O28WQV', '77YKVYXZUCN6', '11CPHRD3FDRO', '7HWTD67IY24H', '5U1P1UCXZ32F', '1UFQ6PFOMTW2', '5TKQRNMLO8ZL', '1E89VHKPD1E0', '2O2RKOK1UKU5', '6B2KWAQX99TY', '2Y1R250YJ8G1', '5T46E4NG6PS1', '55M2MBS7EN0O', '2O2RKOK1UKU5', '1HPX3WEXU1Q3', '0ZEBL4K6582R', '18JL3JS2TPVQ', '50FKIP5H1X2W']"
4UPMO7RDWNS7,dreamGEAR My Arcade Gamer V Portable Gaming System & Fiji AAA 40 PK,,https://walmart.com/ip/4UPMO7RDWNS7,Video Games,/Retro Game Consoles,$26.99,1.0,2 ratings,['Not available']
6K3UWOJTH2QI,Atari Vault,100 Arcade & Atari 2600 ClassicsAtari Vault,https://walmart.com/ip/6K3UWOJTH2QI,Video Games,/Kids and Family Games,$9.75,0.0,0 ratings,"['4XYRBOA9DX7L', '7HGHGNJM0SDI', '388AOAP4WR41', '6494DRJA53XE', '1TUSK7EJW9DY', '2O2RKOK1UKU5', '3VO46Y00QIO2', '18JL3JS2TPVQ', '4HZV69TDU0DV', '1HPX3WEXU1Q3', '65KDI88G61UV', '262CLE5O3ZAL', '0ZEBL4K6582R', '23CS0TAQOB2C', '2F9XM4B3H9OK']"
2L5ZVY9IOLDH,Refurbished Sega Genesis Core System 2 Video Game Console,"Includes AV Cable, Power Cable, One Controller, and System. Very Good Condition Sega Genesis Core System 2 Video Game Console. No Original Box Included.Refurbished Sega Genesis Core System 2 Video Game Console",https://walmart.com/ip/2L5ZVY9IOLDH,Video Games,/Retro Game Consoles,$59.89,0.0,0 ratings,"['5X4IFA4Y8ME9', '2ETDU6QSH8N6', '3P75OZL1QVL5', '4UMFD8055WP2', '4XK2H80116LI', '69PITUJM3BNL', '5T58M9WQ9YP0', '2Z2HJJXO3JEH', '3BORGPHPQ7WX', '3P3Q73K0SYDY', '2JRGL5WBK8FD', '4077SAKGJOFK', '1HC12BGORAE8', '1N902NP5B6QU', '2R88W03F6212', '2O2RKOK1UKU5', '6B2KWAQX99TY', '18JL3JS2TPVQ', '3VO46Y00QIO2', '4HZV69TDU0DV', '2O2RKOK1UKU5', '1HPX3WEXU1Q3', '0ZEBL4K6582R', '50FKIP5H1X2W', '6B2KWAQX99TY']"
1AVEEK3BFGYM,"dreamGEAR My Arcade Machine X, Retro Gaming, 845620025930","The retro arcade machine x by My Arcade is a portable handheld game console with 300 built-in old school video games. Step back to a simpler time when the local arcade was King of entertainment. The retro arcade machine x brings back the classic arcade experience that can be played and enjoyed anywhere. A 2.5 inch full color LCD screen and illuminated buttons mimic original arcade cabinets. Play sports games, puzzles, and much more. This product is powered by 3 AA batteries (not included). Portable Arcade Machine - For kids' entertainment on long car rides, flights, etc 300 Retro Style Games - For hours of fun for the kids; Puzzle, racing, sports, and more 2.5 Inch Full Color Display - For a better experience than black and white Battery Powered - No hassle of charging cable; Runs on 3 AA batteries (sold separately) Illuminated Buttons - For an authentic look and nigh time visibility ",https://walmart.com/ip/1AVEEK3BFGYM,Video Games,/Classic Arcade Gaming,$29.99,5.0,3 ratings,"['23FJ1NDNVD39', '43JWZBEP9IV7', '0WCK38FJGUIK', '2AM91A72MFU1', '4PU1KPU5JMD1', '34TKNGYJZTWL', '4BOSRDOQ4DRD', '215X7CQOH4PX', '16Z5GA3G0Y1Y', '65EB08B3KOLJ', '2O2RKOK1UKU5', '6B2KWAQX99TY', '18JL3JS2TPVQ', '3VO46Y00QIO2', '4HZV69TDU0DV', '6SLDTAWVFD3D', '5C0GLMOOP5SA', '42Z0V2M5H5C7', '1JYKXH8XI4DP', '2WO7EWYIKVO1']"
53357Y0O2W8K,NES Classic Mini EU Console,"NES Classic Mini - EU Version   Rediscover your favourite 80s videogames in HD! Each title for the Nintendo Classic Mini: Nintendo Entertainment System is displayed at a smooth 60Hz via the included HDMI cable and can be enjoyed in one of three visual modes! Comes packaged with an HDMI cable, a USB cable for powering the system, and one Nintendo Classic Mini: NES Controller Note that an AC adapter for the USB cable is required to play the system but is NOT included in the packaging Game Titles:   Balloon Fight BUBBLE BOBBLE Castlevania Castlevania II: Simon's Quest Donkey Kong Donkey Kong Jr. DOUBLE DRAGON II: THE REVENGE Dr. Mario Excitebike FINAL FANTASY Galaga GHOSTS'N GOBLINS GRADIUS Ice Climber Kid Icarus Kirby's Adventure Mario Bros. MEGA MAN 2 Metroid NINJA GAIDEN PAC-MAN Punch-Out!! Mr. Dream StarTropics SUPER C Super Mario Bros. Super Mario Bros. 2 Super Mario Bros. 3 Tecmo Bowl The Legend of Zelda II: The Adventure of Link  Please note:  An AC adapter for the USB cable is required to play the system but is NOT included in the packagingNES Classic Mini EU Console NES Classic Mini EU Console NES Classic Mini EU Console NES Classic Mini EU Console NES Classic Mini EU Console NES Classic Mini EU Console NES Classic Mini EU Console",https://walmart.com/ip/53357Y0O2W8K,Video Games,/Retro Game Consoles,$189.99,4.6,10 ratings,"['6DQO64O28WQV', '4EOM16Z9JPID', '6JH5QWKQWGXT', '47DPVQHEPKS9', '1GDCVDGA9SQ3', '1B388TQ0HY6C', '2VA3SQEREXPI', '5T58M9WQ9YP0', '2Z2HJJXO3JEH', '2ETDU6QSH8N6', '2JRGL5WBK8FD', '4077SAKGJOFK', '1HC12BGORAE8', '1N902NP5B6QU', '2R88W03F6212', '2O2RKOK1UKU5', '6B2KWAQX99TY', '2Y1R250YJ8G1', '5T46E4NG6PS1', '55M2MBS7EN0O', '2O2RKOK1UKU5', '0ZEBL4K6582R', '6B2KWAQX99TY', '3IVQ267YUHG4', '2F9XM4B3H9OK']"
60QQO2NAO9FN,"Creative Arcades 1,162 Game 2 Player Commercial Cocktail Table Arcade Machine | 26"" LCD Monitor | Trackball | Three-Sided | 4 Sanwa Joysticks | 2 Stools | 3-Year Warranty","Creative Arcades 1,162 Game 2 Player Commercial Cocktail Table Arcade Machine | 26"" LCD Monitor | Trackball | Three-Sided | 4 Sanwa Joysticks | 2 Stools | 3-Year Warranty Creative Arcades - FULL-SIZE COMMERCIAL GRADE: Equipped with the highest quality SANWA joysticks, 26"" LCD monitor, thick tempered glass top, leather bar stools and more! We stand behind our products because we are industry leaders in quality craftsmanship and design. 1162 CLASSIC GAMES INCLUDED: Feel like a kid again while playing the pre-installed 80's and 90's classic games! Whether playing for fun or competitively with your friends and family, this arcade machine is guaranteed to be a big hit! PLUG AND PLAY: No setup necessary. Simply plug the game machine in and choose from a comprehensive game list. Supports free and paid gameplay with no setup required. All of our Arcade Models also include a commercial grade custom Volume Control Module with Bass, Treble and Balance inside the cabinet. 3-YEAR WARRANTY: When you lead the industry in construction quality, it's easy to offer the industry-best warranty. We guarantee that the arcade will operate as intended - if not, we expedite brand new parts for easy repair. Purchase with confidence that this classic arcade was built to last. DIMENSIONS: 39""L X 22.5""W X 29""H ",https://walmart.com/ip/60QQO2NAO9FN,Video Games,/Classic Arcade Gaming,"$2,598.00",0.0,0 ratings,"['4Y7LW4ZLG54W', '2WO7EWYIKVO1', '196TJJ1SGAWS', '2H5FCEEVDJ08', '3BVU4SU4KLYO', '6SLDTAWVFD3D', '5C0GLMOOP5SA', '42Z0V2M5H5C7', '1JYKXH8XI4DP', '1KN5MU1OAJLA']"
1JWWLJBHKV6I,"Star Wars Adjustable Stool, Arcade1UP, 815221020818","Level up your gaming sessions with officially licensed stools from Arcade1UP! 2 stools in 1, you can build your stool at either 21.5"" for the standard Arcade1UP cabinet; or add the included leg extenders to make a 29.5"" stool, which is the perfect height for an Arcade1UP cabinet on a riser. Each stool has sturdy chrome legs and thick, comfortable foam padding for those long gaming sessions. Comfortable while you play, stylish while you're away. These stools are a must for every Arcade1UP fan! Adjustable arcade stool with extending legs Height adjusts from 21.5? to 29.5? Fits all Arcade1Up Cabinets Easy to assemble Hardware & instructions sheet included Chrome plated steel frame High-density foam padding Dimensions are 13.5? W x (21.5? - 29.5?H) ",https://walmart.com/ip/1JWWLJBHKV6I,Shop by Movie,/Shop All Star Wars,$79.99,4.5,8 ratings,"['4N17413GU4N8', '1UV33KDMHZFN', '1KN5MU1OAJLA', '709HYF5SBLA8', '35WLJC89GOBM', '732P33FPVSVH', '36R9Z6CJ0X8X', '71ZODV6SL6UB', '1FSC1E4MS798', '6D4XWC7JCX8L']"
39GIXTJ3GQER,"Pac-Man and Pac & Pal Counter Arcade Machine, Arcade1UP","Brace yourself to be plunged back in time to an era of adrenaline pumping, old school fun with Arcade1UP as it brings iconic gaming back to you. Whether you are a retro junkie or curious to check out the hype ? this is the perfect way to enjoy arcade play within your home, dorm room or office. Arcade1UP Countercades are available in multiple exciting versions that feature a table top design with commercial grade construction and coinless operation. All the machines feature original artwork of all-time iconic games. With immersive full-color hi-res displays and sounds, and full size joysticks and control buttons setup, you are looking at endless hours of gaming! Pac-Man is back, man! Outrun the ghosts and collect Pac-Dots while navigating Pac-Man through the maze. Complete each stage by collecting all of the dots and avoiding the tricky ghosts. Experience this gameplay as you would have in an arcade with Arcade1UP's Countercade featuring original gameplay with full size controls. Pre-Assembled, Table top design Play right out of the box! 2 Games in 1 - Pac-Man & Pac & Pal Upgraded 8"" Color LCD screen Real feel arcade controls Commercial-grade construction Original Artwork Coinless operation Owner can adjust the volume On Screen Game Selection Menu ",https://walmart.com/ip/39GIXTJ3GQER,Video Games,/Classic Arcade Gaming,$273.22,3.7,3 ratings,"['76PBLRM52UJO', '3UYKAGW9Z04W', '1ILHBAIRIT09', '1K3BU2FMOJ3R', '42Z0V2M5H5C7', '2JW60XSMBI2W', '77WDHVEN8TD3', '5W1ZE4J7N3PH', '1JYKXH8XI4DP', '196TJJ1SGAWS', '6SLDTAWVFD3D', '5C0GLMOOP5SA', '2WO7EWYIKVO1', '1KN5MU1OAJLA', '709HYF5SBLA8']"
2VA3SQEREXPI,Super Nintendo Entertainment System SNES Classic Edition,"The Super NES Classic Edition system has the original look and feel of the ?90s home console, only smaller. Plus, this one comes fully loaded with 21 games! Get your hands on some of the best 2-player games of the era, including Super Mario Kart and Street Fighter II Turbo: Hyper Fighting. The Super NES Classic Edition is compatible with the Classic Controller and Classic Controller Pro accessories. Just plug it in and play. From your first ride on Yoshi to the final heart-pounding escape from Planet Zebes, the Super Nintendo Entertainment System is pure 16-bit retro gaming perfection. Now a new, miniaturized version is here, pre-loaded with 21 of the all-time greatest games, like Super Mario Kart and the first-ever release of Star Fox 2! Just plug it in and play. Live out the golden age of 16-bit gaming like never before. Choose games from the menu, create save points, and more. The system comes bundled with an HDMI cable, an USB charging cable, two Super NES Classic Controllers, and 21 games, pre-installed and ready-to-play. The system is also compatible with the Classic Controller and Classic Controller Pro accessories. Super Nintendo Entertainment System SNES Classic EditionSuper Nintendo Entertainment System SNES Classic Edition",https://walmart.com/ip/2VA3SQEREXPI,Video Games,/Retro Game Consoles,$227.95,3.8,11 ratings,"['61B46543R46H', '303NGPYRUIKO', '6DQO64O28WQV', '2HCHRJAPIJE8', '2JEUBC6FLEWU', '5T58M9WQ9YP0', '4VQAHZJZR8QJ', '2Z2HJJXO3JEH', '4XK2H80116LI', '6JPXQ3EYYO12', '2ETDU6QSH8N6', '2JRGL5WBK8FD', '4077SAKGJOFK', '1HC12BGORAE8', '1N902NP5B6QU', '2O2RKOK1UKU5', '6B2KWAQX99TY', '3VO46Y00QIO2', '18JL3JS2TPVQ', '4HZV69TDU0DV', '2O2RKOK1UKU5', '6UM0LGM9XNWG', '55M2MBS7EN0O', '6KVH3LSU3ZDU', '3V356YOW1F2W']"
